,color,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,language,budget,imdb_score,aspect_ratio,movie_facebook_likes,Continent,title_year_bins,main_genre,English,Other-language,Action,Adventure,Comedy,Drama,Other-gen, Black and White,Color,<=2000,>2000,Africa,America,Asia,Europe,Oceania,Other-continent
14,Color,450.0,150.0,563.0,1000.0,2000.0,40000.0,89289910.0,181792,45757,711.0,English,215000000.0,6.5,2.35,48000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
15,Color,733.0,143.0,0.0,748.0,3000.0,15000.0,291021565.0,548573,20495,2536.0,English,225000000.0,7.2,2.35,118000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
16,Color,258.0,150.0,80.0,201.0,216.0,22000.0,141614023.0,149922,22697,438.0,English,225000000.0,6.6,2.35,0,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
17,Color,703.0,173.0,0.0,19000.0,21000.0,26000.0,623279547.0,995415,87697,1722.0,English,220000000.0,8.1,1.85,123000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
18,Color,448.0,136.0,252.0,1000.0,11000.0,40000.0,241063875.0,370704,54083,484.0,English,250000000.0,6.7,2.35,58000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
19,Color,451.0,106.0,188.0,718.0,816.0,10000.0,179020854.0,268154,12572,341.0,English,225000000.0,6.8,1.85,40000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
20,Color,422.0,164.0,0.0,773.0,972.0,5000.0,255108370.0,354228,9152,802.0,English,250000000.0,7.5,2.35,65000,Oceania,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
21,Color,599.0,153.0,464.0,963.0,10000.0,15000.0,262030663.0,451803,28489,1225.0,English,230000000.0,7.0,2.35,56000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
22,Color,343.0,156.0,0.0,738.0,882.0,891.0,105219735.0,211765,3244,546.0,English,200000000.0,6.7,2.35,17000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
23,Color,509.0,186.0,0.0,773.0,972.0,5000.0,258355354.0,483540,9152,951.0,English,225000000.0,7.9,2.35,83000,America,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
24,Color,251.0,113.0,129.0,1000.0,6000.0,16000.0,70083519.0,149019,24106,666.0,English,180000000.0,6.1,2.35,0,America,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
25,Color,446.0,201.0,0.0,84.0,919.0,6000.0,218051260.0,316018,7123,2618.0,English,207000000.0,7.2,2.35,0,Oceania,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
26,Color,315.0,194.0,0.0,794.0,14000.0,29000.0,658672302.0,793059,45223,2528.0,English,200000000.0,7.7,2.35,26000,America,<=2000,Drama,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
27,Color,516.0,147.0,94.0,11000.0,19000.0,21000.0,407197282.0,272670,64798,1022.0,English,250000000.0,8.2,2.35,72000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
28,Color,377.0,131.0,532.0,627.0,10000.0,14000.0,65173160.0,202382,26679,751.0,English,209000000.0,5.9,2.35,44000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
29,Color,644.0,124.0,365.0,1000.0,2000.0,3000.0,652177271.0,418214,8458,1290.0,English,150000000.0,7.0,2.0,150000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
30,Color,750.0,143.0,0.0,393.0,563.0,883.0,304360277.0,522030,2039,1498.0,English,200000000.0,7.8,2.35,80000,Europe,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
31,Color,300.0,135.0,0.0,4000.0,11000.0,24000.0,373377893.0,411164,43388,1303.0,English,200000000.0,7.3,2.35,0,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
32,Color,608.0,195.0,1000.0,3000.0,4000.0,21000.0,408992272.0,557489,30426,1187.0,English,200000000.0,7.2,2.35,95000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
33,Color,451.0,108.0,13000.0,11000.0,25000.0,40000.0,334185206.0,306320,79957,736.0,English,200000000.0,6.5,1.85,24000,America,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
34,Color,334.0,104.0,420.0,560.0,808.0,20000.0,234360014.0,383427,21714,1912.0,English,210000000.0,6.8,2.35,0,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
35,Color,376.0,104.0,37.0,760.0,779.0,12000.0,268488329.0,235025,14863,265.0,English,200000000.0,7.3,1.85,44000,America,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
36,Color,366.0,150.0,0.0,464.0,581.0,894.0,402076689.0,323207,3218,1439.0,English,200000000.0,6.0,2.35,0,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
37,Color,378.0,165.0,0.0,808.0,956.0,974.0,245428137.0,242420,3988,918.0,English,210000000.0,5.7,2.35,56000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
38,Color,525.0,130.0,0.0,11000.0,15000.0,44000.0,234903076.0,175409,73441,511.0,English,215000000.0,6.4,2.35,60000,America,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
39,Color,495.0,142.0,464.0,825.0,10000.0,15000.0,202853933.0,321227,28631,1067.0,English,200000000.0,6.7,2.35,41000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
40,Color,469.0,125.0,364.0,1000.0,10000.0,12000.0,172051787.0,264183,25550,665.0,English,170000000.0,6.8,2.35,30000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
41,Color,304.0,106.0,487.0,776.0,919.0,1000.0,191450875.0,101178,4482,283.0,English,200000000.0,6.3,2.35,10000,America,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
42,Color,436.0,123.0,258.0,326.0,368.0,16000.0,116593191.0,223393,17657,550.0,English,200000000.0,5.6,2.35,24000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
43,Color,453.0,103.0,125.0,721.0,1000.0,15000.0,414984497.0,544884,19085,733.0,English,200000000.0,8.3,1.85,30000,America,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
44,Color,422.0,118.0,368.0,988.0,3000.0,23000.0,125320003.0,286095,27468,974.0,English,200000000.0,6.6,2.35,0,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
45,Color,424.0,140.0,0.0,14000.0,23000.0,26000.0,350034110.0,278232,79150,657.0,English,190000000.0,7.2,2.35,94000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
46,Color,654.0,123.0,395.0,1000.0,11000.0,17000.0,202351611.0,465019,32392,995.0,English,190000000.0,7.0,2.35,129000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
47,Color,539.0,149.0,0.0,20000.0,22000.0,34000.0,233914986.0,514125,91434,752.0,English,200000000.0,8.0,2.35,82000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
48,Color,590.0,132.0,14000.0,928.0,981.0,19000.0,228756232.0,395573,21411,1171.0,English,190000000.0,7.8,2.35,92000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
49,Color,338.0,114.0,0.0,140.0,557.0,979.0,65171860.0,106416,1766,205.0,English,195000000.0,6.3,2.35,22000,America,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
50,Color,490.0,143.0,1000.0,77.0,509.0,29000.0,144812796.0,362912,29770,753.0,English,105000000.0,7.3,2.35,115000,Oceania,>2000,Drama,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
51,Color,306.0,116.0,179.0,236.0,567.0,15000.0,90755643.0,222403,16149,453.0,English,200000000.0,6.6,2.35,23000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
52,Color,575.0,131.0,0.0,919.0,968.0,16000.0,101785482.0,381148,19166,1106.0,English,190000000.0,7.0,1.85,83000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
53,Color,428.0,154.0,0.0,581.0,829.0,894.0,352358779.0,326180,2593,899.0,English,195000000.0,6.3,2.35,46000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
54,Color,470.0,122.0,14000.0,1000.0,1000.0,11000.0,317011114.0,333847,14959,2054.0,English,185000000.0,6.2,2.35,5000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
55,Color,298.0,93.0,113.0,113.0,150.0,275.0,123070338.0,62836,696,345.0,English,39961372.69991154,6.8,2.35,20000,America,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
56,Color,488.0,93.0,56.0,838.0,1000.0,2000.0,237282182.0,273556,5005,428.0,English,185000000.0,7.2,2.35,39000,America,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
57,Color,322.0,122.0,681.0,105.0,119.0,998.0,130468626.0,53607,1327,432.0,English,185000000.0,7.5,2.35,30000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
58,Color,421.0,98.0,475.0,522.0,729.0,1000.0,223806889.0,718837,2975,1043.0,English,180000000.0,8.4,2.35,16000,America,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
59,Color,162.0,91.0,420.0,173.0,268.0,268.0,140080850.0,121084,1125,221.0,English,140000000.0,6.2,2.35,0,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
60,Color,367.0,158.0,776.0,310.0,468.0,1000.0,166112167.0,283418,2144,1055.0,English,200000000.0,5.8,2.35,13000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
61,Color,240.0,96.0,0.0,10000.0,14000.0,18000.0,137850096.0,72809,48878,249.0,English,200000000.0,6.8,2.35,0,America,>2000,Other-gen,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
62,Color,384.0,127.0,0.0,13000.0,15000.0,17000.0,47375327.0,139593,47334,720.0,English,176000000.0,5.4,2.35,44000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
63,Color,248.0,110.0,282.0,103.0,10000.0,11000.0,124051759.0,42372,21175,239.0,English,180000000.0,6.6,2.35,29000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
64,Color,284.0,150.0,80.0,82.0,190.0,1000.0,291709845.0,286506,1317,1463.0,English,180000000.0,6.9,2.35,0,America,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
65,Color,396.0,144.0,0.0,1000.0,13000.0,34000.0,154985087.0,148379,49684,622.0,English,178000000.0,7.3,2.35,54000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
66,Color,645.0,152.0,22000.0,11000.0,13000.0,23000.0,533316061.0,1676169,57802,4667.0,English,185000000.0,9.0,2.35,37000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
67,Color,408.0,96.0,0.0,262.0,848.0,1000.0,292979556.0,665575,2635,704.0,English,175000000.0,8.3,1.85,27000,America,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
68,Color,219.0,94.0,11.0,459.0,973.0,1000.0,198332128.0,114553,2579,187.0,English,175000000.0,6.5,2.35,0,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
69,Color,486.0,126.0,4000.0,4000.0,12000.0,21000.0,318298180.0,696338,39252,1055.0,English,140000000.0,7.9,2.35,10000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
70,Color,682.0,126.0,17000.0,1000.0,16000.0,17000.0,73820094.0,245333,36017,678.0,English,170000000.0,7.5,1.85,42000,America,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
71,Color,85.0,106.0,188.0,582.0,4000.0,10000.0,113745408.0,129601,15870,648.0,English,170000000.0,4.8,1.85,0,America,<=2000,Action,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
72,Color,264.0,112.0,357.0,595.0,3000.0,5000.0,102176165.0,117927,9131,501.0,English,145000000.0,5.2,2.35,0,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
73,Color,418.0,123.0,452.0,329.0,336.0,10000.0,161087183.0,118992,11287,971.0,English,175000000.0,6.9,2.35,80000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
74,Color,186.0,96.0,293.0,7000.0,11000.0,87000.0,100289690.0,115099,108016,257.0,English,175000000.0,5.4,2.35,2000,America,>2000,Comedy,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
75,Color,585.0,113.0,218.0,509.0,854.0,10000.0,100189501.0,431620,12652,741.0,English,178000000.0,7.9,2.35,77000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
76,Color,91.0,176.0,58.0,60.0,60.0,711.0,88246220.0,144337,1004,309.0,English,175000000.0,6.1,1.85,0,America,<=2000,Action,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
77,Color,250.0,118.0,208.0,570.0,2000.0,23000.0,150167630.0,174578,26683,534.0,English,175000000.0,5.8,2.35,0,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
78,Color,536.0,95.0,0.0,384.0,767.0,1000.0,356454367.0,345198,2944,773.0,English,175000000.0,8.3,1.85,118000,America,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
79,Color,370.0,106.0,4000.0,591.0,13000.0,19000.0,362645141.0,106072,32921,398.0,English,175000000.0,7.8,1.85,65000,Europe,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
80,Color,453.0,124.0,4000.0,4000.0,19000.0,21000.0,312057433.0,522371,48638,723.0,English,200000000.0,7.0,2.35,18000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
81,Color,416.0,132.0,274.0,11000.0,17000.0,26000.0,155111815.0,228554,72881,710.0,English,170000000.0,6.1,2.35,53000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
82,Color,401.0,97.0,171.0,846.0,2000.0,11000.0,241407328.0,252257,15516,634.0,English,180000000.0,7.0,2.35,89000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
83,Color,521.0,130.0,198.0,884.0,2000.0,10000.0,208543795.0,317542,14363,620.0,English,170000000.0,7.6,1.85,45000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
84,Color,10.0,109.0,596.0,283.0,525.0,622.0,48540926.75837148,2138,1982,15.0,English,39961372.69991154,4.5,2.1296338821490473,677,Europe,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
85,Color,218.0,128.0,47.0,982.0,1000.0,18000.0,38297305.0,116994,20965,324.0,English,175000000.0,6.3,2.35,35000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
86,Color,576.0,136.0,94.0,2000.0,11000.0,19000.0,259746958.0,496749,36188,742.0,English,170000000.0,7.8,2.35,55000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
87,Color,226.0,93.0,31.0,213.0,225.0,4000.0,238371987.0,138661,4628,173.0,English,165000000.0,6.4,2.35,0,America,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
88,Color,443.0,130.0,663.0,604.0,638.0,2000.0,93417865.0,128306,5046,497.0,English,190000000.0,6.5,2.2,37000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
89,Color,384.0,102.0,38.0,562.0,719.0,756.0,222487711.0,279093,2963,433.0,English,165000000.0,7.9,2.39,41000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
90,Color,377.0,101.0,66.0,833.0,931.0,975.0,189412677.0,272534,4451,345.0,English,165000000.0,7.8,2.35,40000,America,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
91,Color,188.0,100.0,0.0,267.0,726.0,15000.0,665426.0,120798,16264,444.0,English,165000000.0,6.6,2.35,10000,America,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
92,Color,286.0,120.0,776.0,535.0,812.0,890.0,102315545.0,58137,3233,520.0,English,165000000.0,5.5,2.35,67000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
93,Color,288.0,98.0,255.0,759.0,953.0,18000.0,217387997.0,485430,20453,492.0,English,165000000.0,8.2,2.35,33000,America,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
94,Color,280.0,109.0,84.0,191.0,284.0,648.0,150350192.0,305340,1769,1676.0,English,200000000.0,6.4,2.35,0,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
95,Color,653.0,121.0,571.0,3000.0,14000.0,14000.0,333130696.0,682155,32438,1097.0,English,170000000.0,8.1,2.35,96000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
96,Color,712.0,169.0,22000.0,6000.0,11000.0,11000.0,187991439.0,928227,31488,2725.0,English,165000000.0,8.6,2.35,349000,America,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
97,Color,642.0,148.0,22000.0,23000.0,27000.0,29000.0,292568851.0,1468200,81115,2803.0,English,160000000.0,8.8,2.35,175000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
98,Color,1.0,120.0,28.0,12.0,106.0,544.0,48540926.75837148,374,699,13.0,Other-language,39961372.69991154,8.2,2.35,0,Asia,>2000,Action,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
99,Color,645.0,182.0,0.0,773.0,972.0,5000.0,303001229.0,637246,9152,1367.0,English,180000000.0,7.9,2.35,166000,America,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
100,Color,187.0,106.0,357.0,4000.0,14000.0,23000.0,144512310.0,272223,45327,988.0,English,38000000.0,6.7,2.35,14000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
101,Color,362.0,166.0,21000.0,919.0,1000.0,11000.0,127490802.0,459346,13333,822.0,English,150000000.0,7.8,2.35,23000,America,>2000,Drama,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
102,Color,500.0,132.0,905.0,1000.0,13000.0,34000.0,146405371.0,518537,50983,698.0,English,160000000.0,7.8,2.35,54000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
103,Color,389.0,137.0,508.0,14000.0,22000.0,34000.0,281666058.0,166137,81385,383.0,English,160000000.0,6.6,2.35,38000,America,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
104,Color,235.0,109.0,226.0,370.0,418.0,12000.0,63143812.0,124185,13388,238.0,English,150000000.0,6.1,2.35,11000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
105,Color,231.0,98.0,249.0,702.0,2000.0,87000.0,60655503.0,82380,92456,629.0,English,160000000.0,5.6,2.35,0,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
106,Color,218.0,113.0,33.0,11000.0,25000.0,40000.0,76846624.0,21352,80806,131.0,English,170000000.0,6.4,1.85,30000,America,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
107,Color,227.0,93.0,50.0,692.0,795.0,3000.0,320706665.0,211971,4705,326.0,English,160000000.0,6.1,1.85,0,America,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
108,Color,275.0,123.0,0.0,648.0,716.0,3000.0,46978995.0,111609,5505,781.0,English,160000000.0,7.3,2.35,89000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
109,Color,474.0,126.0,230.0,2000.0,10000.0,24000.0,89732035.0,188457,38873,867.0,English,155000000.0,6.6,2.35,82000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
110,Color,228.0,113.0,150.0,59.0,82.0,531.0,104383624.0,106446,764,227.0,English,155000000.0,6.3,1.78,11000,America,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
111, Black and White,191.0,184.0,0.0,691.0,961.0,3000.0,198539855.0,254111,5401,1999.0,English,140000000.0,6.1,2.35,0,America,>2000,Action,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
112,Color,396.0,144.0,0.0,581.0,599.0,662.0,318759914.0,513158,2333,1782.0,English,150000000.0,7.1,2.35,8000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
113,Color,248.0,206.0,0.0,591.0,11000.0,12000.0,34293771.0,138863,24598,1390.0,English,155000000.0,5.5,2.35,0,Europe,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
114,Color,329.0,138.0,282.0,687.0,11000.0,21000.0,292000866.0,355137,33433,1108.0,English,150000000.0,7.5,2.35,0,Europe,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
115,Color,295.0,157.0,179.0,10000.0,11000.0,21000.0,289994397.0,385670,53413,1896.0,English,150000000.0,7.6,2.35,0,Europe,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
116,Color,318.0,102.0,532.0,979.0,9000.0,10000.0,227946274.0,343648,21584,590.0,English,150000000.0,6.4,2.35,0,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
117,Color,323.0,104.0,508.0,558.0,1000.0,10000.0,256386216.0,530870,13076,1413.0,English,150000000.0,7.2,2.35,11000,America,>2000,Drama,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
118,Color,276.0,115.0,13000.0,588.0,16000.0,40000.0,206456431.0,320284,57844,1361.0,English,150000000.0,6.7,1.85,0,America,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
119,Color,318.0,111.0,663.0,954.0,1000.0,1000.0,206435493.0,473887,4764,626.0,English,150000000.0,8.0,2.35,10000,America,>2000,Other-gen,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
120,Color,478.0,128.0,22000.0,11000.0,14000.0,23000.0,205343774.0,980946,59558,2685.0,English,150000000.0,8.3,2.35,15000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
121,Color,167.0,89.0,35.0,436.0,851.0,1000.0,179982968.0,146019,3285,119.0,English,150000000.0,6.7,1.85,0,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
122,Color,185.0,105.0,189.0,1000.0,3000.0,49000.0,177243721.0,130272,54039,209.0,English,150000000.0,5.9,2.35,2000,America,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
123,Color,350.0,119.0,151.0,2000.0,16000.0,20000.0,179883016.0,361924,40054,641.0,English,150000000.0,6.7,2.35,0,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
