,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_facebook_likes,actor_1_facebook_likes,gross,genres,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes
17,Color,Joss Whedon,703.0,173.0,0.0,19000.0,21000.0,26000.0,623279547.0,Action|Adventure|Sci-Fi,995415,87697,1722.0,English,USA,PG-13,220000000.0,2012.0,8.1,1.85,123000
18,Color,Rob Marshall,448.0,136.0,252.0,1000.0,11000.0,40000.0,241063875.0,Action|Adventure|Fantasy,370704,54083,484.0,English,USA,PG-13,250000000.0,2011.0,6.7,2.35,58000
19,Color,Barry Sonnenfeld,451.0,106.0,188.0,718.0,816.0,10000.0,179020854.0,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,268154,12572,341.0,English,USA,PG-13,225000000.0,2012.0,6.8,1.85,40000
20,Color,Peter Jackson,422.0,164.0,0.0,773.0,972.0,5000.0,255108370.0,Adventure|Fantasy,354228,9152,802.0,English,New Zealand,PG-13,250000000.0,2014.0,7.5,2.35,65000
21,Color,Marc Webb,599.0,153.0,464.0,963.0,10000.0,15000.0,262030663.0,Action|Adventure|Fantasy,451803,28489,1225.0,English,USA,PG-13,230000000.0,2012.0,7.0,2.35,56000
22,Color,Ridley Scott,343.0,156.0,0.0,738.0,882.0,891.0,105219735.0,Action|Adventure|Drama|History,211765,3244,546.0,English,USA,PG-13,200000000.0,2010.0,6.7,2.35,17000
23,Color,Peter Jackson,509.0,186.0,0.0,773.0,972.0,5000.0,258355354.0,Adventure|Fantasy,483540,9152,951.0,English,USA,PG-13,225000000.0,2013.0,7.9,2.35,83000
24,Color,Chris Weitz,251.0,113.0,129.0,1000.0,6000.0,16000.0,70083519.0,Adventure|Family|Fantasy,149019,24106,666.0,English,USA,PG-13,180000000.0,2007.0,6.1,2.35,0
25,Color,Peter Jackson,446.0,201.0,0.0,84.0,919.0,6000.0,218051260.0,Action|Adventure|Drama|Romance,316018,7123,2618.0,English,New Zealand,PG-13,207000000.0,2005.0,7.2,2.35,0
26,Color,James Cameron,315.0,194.0,0.0,794.0,14000.0,29000.0,658672302.0,Drama|Romance,793059,45223,2528.0,English,USA,PG-13,200000000.0,1997.0,7.7,2.35,26000
27,Color,Anthony Russo,516.0,147.0,94.0,11000.0,19000.0,21000.0,407197282.0,Action|Adventure|Sci-Fi,272670,64798,1022.0,English,USA,PG-13,250000000.0,2016.0,8.2,2.35,72000
28,Color,Peter Berg,377.0,131.0,532.0,627.0,10000.0,14000.0,65173160.0,Action|Adventure|Sci-Fi|Thriller,202382,26679,751.0,English,USA,PG-13,209000000.0,2012.0,5.9,2.35,44000
29,Color,Colin Trevorrow,644.0,124.0,365.0,1000.0,2000.0,3000.0,652177271.0,Action|Adventure|Sci-Fi|Thriller,418214,8458,1290.0,English,USA,PG-13,150000000.0,2015.0,7.0,2.0,150000
30,Color,Sam Mendes,750.0,143.0,0.0,393.0,563.0,883.0,304360277.0,Action|Adventure|Thriller,522030,2039,1498.0,English,UK,PG-13,200000000.0,2012.0,7.8,2.35,80000
31,Color,Sam Raimi,300.0,135.0,0.0,4000.0,11000.0,24000.0,373377893.0,Action|Adventure|Fantasy|Romance,411164,43388,1303.0,English,USA,PG-13,200000000.0,2004.0,7.3,2.35,0
32,Color,Shane Black,608.0,195.0,1000.0,3000.0,4000.0,21000.0,408992272.0,Action|Adventure|Sci-Fi,557489,30426,1187.0,English,USA,PG-13,200000000.0,2013.0,7.2,2.35,95000
33,Color,Tim Burton,451.0,108.0,13000.0,11000.0,25000.0,40000.0,334185206.0,Adventure|Family|Fantasy,306320,79957,736.0,English,USA,PG,200000000.0,2010.0,6.5,1.85,24000
34,Color,Brett Ratner,334.0,104.0,420.0,560.0,808.0,20000.0,234360014.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,383427,21714,1912.0,English,Canada,PG-13,210000000.0,2006.0,6.8,2.35,0
35,Color,Dan Scanlon,376.0,104.0,37.0,760.0,779.0,12000.0,268488329.0,Adventure|Animation|Comedy|Family|Fantasy,235025,14863,265.0,English,USA,G,200000000.0,2013.0,7.3,1.85,44000
36,Color,Michael Bay,366.0,150.0,0.0,464.0,581.0,894.0,402076689.0,Action|Adventure|Sci-Fi,323207,3218,1439.0,English,USA,PG-13,200000000.0,2009.0,6.0,2.35,0
37,Color,Michael Bay,378.0,165.0,0.0,808.0,956.0,974.0,245428137.0,Action|Adventure|Sci-Fi,242420,3988,918.0,English,USA,PG-13,210000000.0,2014.0,5.7,2.35,56000
38,Color,Sam Raimi,525.0,130.0,0.0,11000.0,15000.0,44000.0,234903076.0,Adventure|Family|Fantasy,175409,73441,511.0,English,USA,PG,215000000.0,2013.0,6.4,2.35,60000
39,Color,Marc Webb,495.0,142.0,464.0,825.0,10000.0,15000.0,202853933.0,Action|Adventure|Fantasy|Sci-Fi,321227,28631,1067.0,English,USA,PG-13,200000000.0,2014.0,6.7,2.35,41000
40,Color,Joseph Kosinski,469.0,125.0,364.0,1000.0,10000.0,12000.0,172051787.0,Action|Adventure|Sci-Fi,264183,25550,665.0,English,USA,PG,170000000.0,2010.0,6.8,2.35,30000
41,Color,John Lasseter,304.0,106.0,487.0,776.0,919.0,1000.0,191450875.0,Adventure|Animation|Comedy|Family|Sport,101178,4482,283.0,English,USA,G,200000000.0,2011.0,6.3,2.35,10000
42,Color,Martin Campbell,436.0,123.0,258.0,326.0,368.0,16000.0,116593191.0,Action|Adventure|Sci-Fi,223393,17657,550.0,English,USA,PG-13,200000000.0,2011.0,5.6,2.35,24000
43,Color,Lee Unkrich,453.0,103.0,125.0,721.0,1000.0,15000.0,414984497.0,Adventure|Animation|Comedy|Family|Fantasy,544884,19085,733.0,English,USA,G,200000000.0,2010.0,8.3,1.85,30000
44,Color,McG,422.0,118.0,368.0,988.0,3000.0,23000.0,125320003.0,Action|Adventure|Sci-Fi,286095,27468,974.0,English,USA,PG-13,200000000.0,2009.0,6.6,2.35,0
45,Color,James Wan,424.0,140.0,0.0,14000.0,23000.0,26000.0,350034110.0,Action|Crime|Thriller,278232,79150,657.0,English,USA,PG-13,190000000.0,2015.0,7.2,2.35,94000
46,Color,Marc Forster,654.0,123.0,395.0,1000.0,11000.0,17000.0,202351611.0,Action|Adventure|Horror|Sci-Fi|Thriller,465019,32392,995.0,English,USA,PG-13,190000000.0,2013.0,7.0,2.35,129000
47,Color,Bryan Singer,539.0,149.0,0.0,20000.0,22000.0,34000.0,233914986.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,514125,91434,752.0,English,USA,PG-13,200000000.0,2014.0,8.0,2.35,82000
48,Color,J.J. Abrams,590.0,132.0,14000.0,928.0,981.0,19000.0,228756232.0,Action|Adventure|Sci-Fi,395573,21411,1171.0,English,USA,PG-13,190000000.0,2013.0,7.8,2.35,92000
49,Color,Bryan Singer,338.0,114.0,0.0,140.0,557.0,979.0,65171860.0,Adventure|Fantasy,106416,1766,205.0,English,USA,PG-13,195000000.0,2013.0,6.3,2.35,22000
50,Color,Baz Luhrmann,490.0,143.0,1000.0,77.0,509.0,29000.0,144812796.0,Drama|Romance,362912,29770,753.0,English,Australia,PG-13,105000000.0,2013.0,7.3,2.35,115000
51,Color,Mike Newell,306.0,116.0,179.0,236.0,567.0,15000.0,90755643.0,Action|Adventure|Fantasy|Romance,222403,16149,453.0,English,USA,PG-13,200000000.0,2010.0,6.6,2.35,23000
52,Color,Guillermo del Toro,575.0,131.0,0.0,919.0,968.0,16000.0,101785482.0,Action|Adventure|Sci-Fi,381148,19166,1106.0,English,USA,PG-13,190000000.0,2013.0,7.0,1.85,83000
53,Color,Michael Bay,428.0,154.0,0.0,581.0,829.0,894.0,352358779.0,Action|Adventure|Sci-Fi,326180,2593,899.0,English,USA,PG-13,195000000.0,2011.0,6.3,2.35,46000
54,Color,Steven Spielberg,470.0,122.0,14000.0,1000.0,1000.0,11000.0,317011114.0,Action|Adventure|Fantasy,333847,14959,2054.0,English,USA,PG-13,185000000.0,2008.0,6.2,2.35,5000
55,Color,Peter Sohn,298.0,93.0,113.0,113.0,150.0,275.0,123070338.0,Adventure|Animation|Comedy|Family|Fantasy,62836,696,345.0,English,USA,PG,41280976.73635523,2015.0,6.8,2.35,20000
56,Color,Mark Andrews,488.0,93.0,56.0,838.0,1000.0,2000.0,237282182.0,Adventure|Animation|Comedy|Family|Fantasy,273556,5005,428.0,English,USA,PG,185000000.0,2012.0,7.2,2.35,39000
57,Color,Justin Lin,322.0,122.0,681.0,105.0,119.0,998.0,130468626.0,Action|Adventure|Sci-Fi|Thriller,53607,1327,432.0,English,USA,PG-13,185000000.0,2016.0,7.5,2.35,30000
58,Color,Andrew Stanton,421.0,98.0,475.0,522.0,729.0,1000.0,223806889.0,Adventure|Animation|Family|Sci-Fi,718837,2975,1043.0,English,USA,G,180000000.0,2008.0,8.4,2.35,16000
59,Color,Brett Ratner,162.0,91.0,420.0,173.0,268.0,268.0,140080850.0,Action|Comedy|Crime|Thriller,121084,1125,221.0,English,USA,PG-13,140000000.0,2007.0,6.2,2.35,0
60,Color,Roland Emmerich,367.0,158.0,776.0,310.0,468.0,1000.0,166112167.0,Action|Adventure|Sci-Fi,283418,2144,1055.0,English,USA,PG-13,200000000.0,2009.0,5.8,2.35,13000
61,Color,Robert Zemeckis,240.0,96.0,0.0,10000.0,14000.0,18000.0,137850096.0,Animation|Drama|Family|Fantasy,72809,48878,249.0,English,USA,PG,200000000.0,2009.0,6.8,2.35,0
62,Color,Lana Wachowski,384.0,127.0,0.0,13000.0,15000.0,17000.0,47375327.0,Action|Adventure|Sci-Fi,139593,47334,720.0,English,USA,PG-13,176000000.0,2015.0,5.4,2.35,44000
63,Color,David Yates,248.0,110.0,282.0,103.0,10000.0,11000.0,124051759.0,Action|Adventure|Drama|Romance,42372,21175,239.0,English,USA,PG-13,180000000.0,2016.0,6.6,2.35,29000
64,Color,Andrew Adamson,284.0,150.0,80.0,82.0,190.0,1000.0,291709845.0,Adventure|Family|Fantasy,286506,1317,1463.0,English,USA,PG,180000000.0,2005.0,6.9,2.35,0
65,Color,Bryan Singer,396.0,144.0,0.0,1000.0,13000.0,34000.0,154985087.0,Action|Adventure|Sci-Fi,148379,49684,622.0,English,USA,PG-13,178000000.0,2016.0,7.3,2.35,54000
66,Color,Christopher Nolan,645.0,152.0,22000.0,11000.0,13000.0,23000.0,533316061.0,Action|Crime|Drama|Thriller,1676169,57802,4667.0,English,USA,PG-13,185000000.0,2008.0,9.0,2.35,37000
67,Color,Pete Docter,408.0,96.0,0.0,262.0,848.0,1000.0,292979556.0,Adventure|Animation|Comedy|Family,665575,2635,704.0,English,USA,PG,175000000.0,2009.0,8.3,1.85,27000
68,Color,Rob Letterman,219.0,94.0,11.0,459.0,973.0,1000.0,198332128.0,Action|Adventure|Animation|Comedy|Family|Sci-Fi,114553,2579,187.0,English,USA,PG,175000000.0,2009.0,6.5,2.35,0
69,Color,Jon Favreau,486.0,126.0,4000.0,4000.0,12000.0,21000.0,318298180.0,Action|Adventure|Sci-Fi,696338,39252,1055.0,English,USA,PG-13,140000000.0,2008.0,7.9,2.35,10000
70,Color,Martin Scorsese,682.0,126.0,17000.0,1000.0,16000.0,17000.0,73820094.0,Adventure|Drama|Family|Mystery,245333,36017,678.0,English,USA,PG,170000000.0,2011.0,7.5,1.85,42000
71,Color,Barry Sonnenfeld,85.0,106.0,188.0,582.0,4000.0,10000.0,113745408.0,Action|Comedy|Sci-Fi|Western,129601,15870,648.0,English,USA,PG-13,170000000.0,1999.0,4.8,1.85,0
72,Color,Rob Cohen,264.0,112.0,357.0,595.0,3000.0,5000.0,102176165.0,Action|Adventure|Fantasy|Horror|Thriller,117927,9131,501.0,English,USA,PG-13,145000000.0,2008.0,5.2,2.35,0
73,Color,David Ayer,418.0,123.0,452.0,329.0,336.0,10000.0,161087183.0,Action|Adventure|Comedy|Sci-Fi,118992,11287,971.0,English,USA,PG-13,175000000.0,2016.0,6.9,2.35,80000
74,Color,Tom Shadyac,186.0,96.0,293.0,7000.0,11000.0,87000.0,100289690.0,Comedy|Family|Fantasy,115099,108016,257.0,English,USA,PG,175000000.0,2007.0,5.4,2.35,2000
75,Color,Doug Liman,585.0,113.0,218.0,509.0,854.0,10000.0,100189501.0,Action|Adventure|Sci-Fi,431620,12652,741.0,English,USA,PG-13,178000000.0,2014.0,7.9,2.35,77000
76,Color,Kevin Reynolds,91.0,176.0,58.0,60.0,60.0,711.0,88246220.0,Action|Adventure|Sci-Fi|Thriller,144337,1004,309.0,English,USA,PG-13,175000000.0,1995.0,6.1,1.85,0
77,Color,Stephen Sommers,250.0,118.0,208.0,570.0,2000.0,23000.0,150167630.0,Action|Adventure|Sci-Fi|Thriller,174578,26683,534.0,English,USA,PG-13,175000000.0,2009.0,5.8,2.35,0
78,Color,Pete Docter,536.0,95.0,0.0,384.0,767.0,1000.0,356454367.0,Adventure|Animation|Comedy|Drama|Family|Fantasy,345198,2944,773.0,English,USA,PG,175000000.0,2015.0,8.3,1.85,118000
79,Color,Jon Favreau,370.0,106.0,4000.0,591.0,13000.0,19000.0,362645141.0,Adventure|Drama|Family|Fantasy,106072,32921,398.0,English,UK,PG,175000000.0,2016.0,7.8,1.85,65000
80,Color,Jon Favreau,453.0,124.0,4000.0,4000.0,19000.0,21000.0,312057433.0,Action|Adventure|Sci-Fi,522371,48638,723.0,English,USA,PG-13,200000000.0,2010.0,7.0,2.35,18000
81,Color,Rupert Sanders,416.0,132.0,274.0,11000.0,17000.0,26000.0,155111815.0,Action|Adventure|Drama|Fantasy,228554,72881,710.0,English,USA,PG-13,170000000.0,2012.0,6.1,2.35,53000
82,Color,Robert Stromberg,401.0,97.0,171.0,846.0,2000.0,11000.0,241407328.0,Action|Adventure|Family|Fantasy|Romance,252257,15516,634.0,English,USA,PG,180000000.0,2014.0,7.0,2.35,89000
83,Color,Matt Reeves,521.0,130.0,198.0,884.0,2000.0,10000.0,208543795.0,Action|Adventure|Drama|Sci-Fi,317542,14363,620.0,English,USA,PG-13,170000000.0,2014.0,7.6,1.85,45000
84,Color,Roland Joffé,10.0,109.0,596.0,283.0,525.0,622.0,49273374.48434442,Action|Adventure|Romance|Sci-Fi,2138,1982,15.0,English,Belgium,R,41280976.73635523,2015.0,4.5,2.108651610017889,677
85,Color,Carl Rinsch,218.0,128.0,47.0,982.0,1000.0,18000.0,38297305.0,Action|Adventure|Drama|Fantasy,116994,20965,324.0,English,USA,PG-13,175000000.0,2013.0,6.3,2.35,35000
86,Color,Anthony Russo,576.0,136.0,94.0,2000.0,11000.0,19000.0,259746958.0,Action|Adventure|Sci-Fi,496749,36188,742.0,English,USA,PG-13,170000000.0,2014.0,7.8,2.35,55000
87,Color,Mike Mitchell,226.0,93.0,31.0,213.0,225.0,4000.0,238371987.0,Adventure|Animation|Comedy|Family|Fantasy,138661,4628,173.0,English,USA,PG,165000000.0,2010.0,6.4,2.35,0
88,Color,Brad Bird,443.0,130.0,663.0,604.0,638.0,2000.0,93417865.0,Action|Adventure|Family|Mystery|Sci-Fi,128306,5046,497.0,English,USA,PG,190000000.0,2015.0,6.5,2.2,37000
89,Color,Don Hall,384.0,102.0,38.0,562.0,719.0,756.0,222487711.0,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,279093,2963,433.0,English,USA,PG,165000000.0,2014.0,7.9,2.39,41000
90,Color,Rich Moore,377.0,101.0,66.0,833.0,931.0,975.0,189412677.0,Adventure|Animation|Comedy|Family|Sci-Fi,272534,4451,345.0,English,USA,PG,165000000.0,2012.0,7.8,2.35,40000
91,Color,Robert Zemeckis,188.0,100.0,0.0,267.0,726.0,15000.0,665426.0,Adventure|Animation|Family|Fantasy,120798,16264,444.0,English,USA,G,165000000.0,2004.0,6.6,2.35,10000
92,Color,Roland Emmerich,286.0,120.0,776.0,535.0,812.0,890.0,102315545.0,Action|Adventure|Sci-Fi,58137,3233,520.0,English,USA,PG-13,165000000.0,2016.0,5.5,2.35,67000
93,Color,Dean DeBlois,288.0,98.0,255.0,759.0,953.0,18000.0,217387997.0,Adventure|Animation|Family|Fantasy,485430,20453,492.0,English,USA,PG,165000000.0,2010.0,8.2,2.35,33000
94,Color,Jonathan Mostow,280.0,109.0,84.0,191.0,284.0,648.0,150350192.0,Action|Sci-Fi,305340,1769,1676.0,English,USA,R,200000000.0,2003.0,6.4,2.35,0
95,Color,James Gunn,653.0,121.0,571.0,3000.0,14000.0,14000.0,333130696.0,Action|Adventure|Sci-Fi,682155,32438,1097.0,English,USA,PG-13,170000000.0,2014.0,8.1,2.35,96000
96,Color,Christopher Nolan,712.0,169.0,22000.0,6000.0,11000.0,11000.0,187991439.0,Adventure|Drama|Sci-Fi,928227,31488,2725.0,English,USA,PG-13,165000000.0,2014.0,8.6,2.35,349000
97,Color,Christopher Nolan,642.0,148.0,22000.0,23000.0,27000.0,29000.0,292568851.0,Action|Adventure|Sci-Fi|Thriller,1468200,81115,2803.0,English,USA,PG-13,160000000.0,2010.0,8.8,2.35,175000
99,Color,Peter Jackson,645.0,182.0,0.0,773.0,972.0,5000.0,303001229.0,Adventure|Fantasy,637246,9152,1367.0,English,USA,PG-13,180000000.0,2012.0,7.9,2.35,166000
100,Color,Rob Cohen,187.0,106.0,357.0,4000.0,14000.0,23000.0,144512310.0,Action|Crime|Thriller,272223,45327,988.0,English,USA,PG-13,38000000.0,2001.0,6.7,2.35,14000
101,Color,David Fincher,362.0,166.0,21000.0,919.0,1000.0,11000.0,127490802.0,Drama|Fantasy|Romance,459346,13333,822.0,English,USA,PG-13,150000000.0,2008.0,7.8,2.35,23000
102,Color,Matthew Vaughn,500.0,132.0,905.0,1000.0,13000.0,34000.0,146405371.0,Action|Adventure|Sci-Fi,518537,50983,698.0,English,USA,PG-13,160000000.0,2011.0,7.8,2.35,54000
103,Color,Francis Lawrence,389.0,137.0,508.0,14000.0,22000.0,34000.0,281666058.0,Adventure|Sci-Fi,166137,81385,383.0,English,USA,PG-13,160000000.0,2015.0,6.6,2.35,38000
104,Color,Jon Turteltaub,235.0,109.0,226.0,370.0,418.0,12000.0,63143812.0,Action|Adventure|Family|Fantasy,124185,13388,238.0,English,USA,PG,150000000.0,2010.0,6.1,2.35,11000
105,Color,Wolfgang Petersen,231.0,98.0,249.0,702.0,2000.0,87000.0,60655503.0,Action|Adventure|Drama|Thriller,82380,92456,629.0,English,USA,PG-13,160000000.0,2006.0,5.6,2.35,0
106,Color,James Bobin,218.0,113.0,33.0,11000.0,25000.0,40000.0,76846624.0,Adventure|Family|Fantasy,21352,80806,131.0,English,USA,PG,170000000.0,2016.0,6.4,1.85,30000
107,Color,Chris Miller,227.0,93.0,50.0,692.0,795.0,3000.0,320706665.0,Adventure|Animation|Comedy|Family|Fantasy,211971,4705,326.0,English,USA,PG,160000000.0,2007.0,6.1,1.85,0
108,Color,Duncan Jones,275.0,123.0,0.0,648.0,716.0,3000.0,46978995.0,Action|Adventure|Fantasy,111609,5505,781.0,English,USA,PG-13,160000000.0,2016.0,7.3,2.35,89000
109,Color,Alan Taylor,474.0,126.0,230.0,2000.0,10000.0,24000.0,89732035.0,Action|Adventure|Sci-Fi,188457,38873,867.0,English,USA,PG-13,155000000.0,2015.0,6.6,2.35,82000
110,Color,Michael Apted,228.0,113.0,150.0,59.0,82.0,531.0,104383624.0,Adventure|Family|Fantasy,106446,764,227.0,English,USA,PG,155000000.0,2010.0,6.3,1.78,11000
111, Black and White,Michael Bay,191.0,184.0,0.0,691.0,961.0,3000.0,198539855.0,Action|Drama|History|Romance|War,254111,5401,1999.0,English,USA,PG-13,140000000.0,2001.0,6.1,2.35,0
112,Color,Michael Bay,396.0,144.0,0.0,581.0,599.0,662.0,318759914.0,Action|Adventure|Sci-Fi,513158,2333,1782.0,English,USA,PG-13,150000000.0,2007.0,7.1,2.35,8000
113,Color,Oliver Stone,248.0,206.0,0.0,591.0,11000.0,12000.0,34293771.0,Action|Adventure|Biography|Drama|History|Romance|War,138863,24598,1390.0,English,Germany,R,155000000.0,2004.0,5.5,2.35,0
114,Color,David Yates,329.0,138.0,282.0,687.0,11000.0,21000.0,292000866.0,Adventure|Family|Fantasy|Mystery,355137,33433,1108.0,English,UK,PG-13,150000000.0,2007.0,7.5,2.35,0
115,Color,Mike Newell,295.0,157.0,179.0,10000.0,11000.0,21000.0,289994397.0,Adventure|Family|Fantasy|Mystery,385670,53413,1896.0,English,UK,PG-13,150000000.0,2005.0,7.6,2.35,0
116,Color,Peter Berg,318.0,102.0,532.0,979.0,9000.0,10000.0,227946274.0,Action|Drama,343648,21584,590.0,English,USA,PG-13,150000000.0,2008.0,6.4,2.35,0
117,Color,Francis Lawrence,323.0,104.0,508.0,558.0,1000.0,10000.0,256386216.0,Drama|Horror|Sci-Fi,530870,13076,1413.0,English,USA,PG-13,150000000.0,2007.0,7.2,2.35,11000
118,Color,Tim Burton,276.0,115.0,13000.0,588.0,16000.0,40000.0,206456431.0,Adventure|Comedy|Family|Fantasy,320284,57844,1361.0,English,USA,PG,150000000.0,2005.0,6.7,1.85,0
119,Color,Brad Bird,318.0,111.0,663.0,954.0,1000.0,1000.0,206435493.0,Animation|Comedy|Family|Fantasy,473887,4764,626.0,English,USA,G,150000000.0,2007.0,8.0,2.35,10000
120,Color,Christopher Nolan,478.0,128.0,22000.0,11000.0,14000.0,23000.0,205343774.0,Action|Adventure,980946,59558,2685.0,English,USA,PG-13,150000000.0,2005.0,8.3,2.35,15000
121,Color,Eric Darnell,167.0,89.0,35.0,436.0,851.0,1000.0,179982968.0,Action|Adventure|Animation|Comedy|Family,146019,3285,119.0,English,USA,PG,150000000.0,2008.0,6.7,1.85,0
122,Color,Shawn Levy,185.0,105.0,189.0,1000.0,3000.0,49000.0,177243721.0,Adventure|Comedy|Family|Fantasy,130272,54039,209.0,English,USA,PG,150000000.0,2009.0,5.9,2.35,2000
123,Color,Gavin Hood,350.0,119.0,151.0,2000.0,16000.0,20000.0,179883016.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,361924,40054,641.0,English,USA,PG-13,150000000.0,2009.0,6.7,2.35,0
124,Color,Lana Wachowski,245.0,129.0,0.0,233.0,269.0,309.0,139259759.0,Action|Sci-Fi,364948,1062,2121.0,English,Australia,R,150000000.0,2003.0,6.7,2.35,0
125,Color,Chris Buck,406.0,102.0,69.0,490.0,523.0,1000.0,400736600.0,Adventure|Animation|Comedy|Family|Fantasy|Musical,421658,2582,904.0,English,USA,PG,150000000.0,2013.0,7.6,2.24,58000
126,Color,Lana Wachowski,275.0,138.0,0.0,30.0,198.0,234.0,281492479.0,Action|Sci-Fi,421818,534,2789.0,English,USA,R,150000000.0,2003.0,7.2,2.35,0
127,Color,Alan Taylor,486.0,112.0,230.0,12000.0,20000.0,26000.0,206360018.0,Action|Adventure|Fantasy,414070,59803,532.0,English,USA,PG-13,170000000.0,2013.0,7.1,2.35,63000
128,Color,George Miller,739.0,120.0,750.0,943.0,9000.0,27000.0,153629485.0,Action|Adventure|Sci-Fi|Thriller,552503,40025,1588.0,English,Australia,R,150000000.0,2015.0,8.1,2.35,191000
129,Color,Ron Howard,298.0,146.0,2000.0,294.0,745.0,15000.0,133375846.0,Mystery|Thriller,207839,16948,435.0,English,USA,PG-13,150000000.0,2009.0,6.7,2.35,0
130,Color,Kenneth Branagh,516.0,115.0,0.0,12000.0,20000.0,26000.0,181015141.0,Action|Adventure|Fantasy,536314,60059,738.0,English,USA,PG-13,150000000.0,2011.0,7.0,2.35,63000
131,Color,Byron Howard,225.0,96.0,59.0,699.0,759.0,17000.0,114053579.0,Adventure|Animation|Comedy|Drama|Family,146766,20007,178.0,English,USA,PG,150000000.0,2008.0,6.9,1.85,0
132,Color,Hoyt Yeatman,145.0,88.0,12.0,182.0,607.0,730.0,119420252.0,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,33042,2217,90.0,English,USA,PG,150000000.0,2009.0,5.1,2.35,0
133,Color,Jonathan Liebesman,310.0,99.0,473.0,502.0,897.0,14000.0,83640426.0,Action|Adventure|Fantasy,152826,16184,253.0,English,USA,PG-13,150000000.0,2012.0,5.8,1.85,19000
